Player,Team,Age,TM_GP,PCT_GP,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,SEASON
Asa Newell,ATL,20,18,0.611111111,11,9,2,8.1,4.3,1.5,3,48.5,0.7,1.5,47.1,0.6,0.8,77.8,0.8,0.8,1.6,0.1,0.4,0.4,0.3,1.3,7.9,1,0,-0.3,2025-2026
Egor Demin,BKN,19,17,0.941176471,16,3,13,22.2,7.6,2.7,7.3,37.1,1.8,5.1,34.6,0.5,0.6,80,0.6,2.8,3.4,3.4,1.6,0.8,0.2,1.8,18.2,0,0,-5.4,2025-2026
Drake Powell,BKN,20,17,0.647058824,11,2,9,18.9,6.9,2.5,5,50.9,0.7,1.9,38.1,1.1,1.2,92.3,0.4,1.6,2,2,1.2,0.9,0.1,2,14.1,0,0,-5.9,2025-2026
Ben Saraf,BKN,19,17,0.411764706,7,0,7,13.8,3.3,1,3.9,25.9,0.4,1.9,23.1,0.9,1.1,75,0.4,1.4,1.9,2.4,1.3,0.3,0,1.9,8.7,0,0,-3.1,2025-2026
Nolan Traore,BKN,19,17,0.235294118,4,0,4,8.8,1.8,0.5,2.3,22.2,0.5,1.5,33.3,0.3,0.5,50,0,0.3,0.3,1.3,0.5,0.5,0,1.3,4.9,0,0,-5.8,2025-2026
Danny Wolf,BKN,21,17,0.176470588,3,0,3,2.6,0.7,0,0.3,0,0,0,0,0.7,0.7,100,0,0.7,0.7,0.7,0,0,0,0,2.5,0,0,1.3,2025-2026
Hugo Gonzalez,BOS,19,17,0.764705882,13,6,7,11.6,2.6,1.1,2.5,43.8,0.4,0.8,50,0.1,0.2,33.3,0.6,1.2,1.8,0.7,0.5,0.8,0.2,1.8,8.1,0,0,2.5,2025-2026
Amari Williams,BOS,23,17,0.117647059,2,0,2,3.4,1,0.5,1,50,0,0,0,0,0,0,0.5,0.5,1,0.5,0,0.5,0,0.5,4.5,0,0,4.5,2025-2026
Kon Knueppel,CHA,20,17,1,17,4,13,33.6,19.4,6.8,13.8,49.1,3.7,8.5,43.8,2.1,2.4,90,1.1,4.7,5.8,2.9,2.4,0.8,0.2,2.4,31.3,2,0,-1.9,2025-2026
Ryan Kalkbrenner,CHA,23,17,0.882352941,15,4,11,25.4,9.4,4.1,5.1,80.3,0,0.1,0,1.3,1.6,79.2,3.2,3.7,6.9,0.4,1.5,0.8,1.9,1.9,25,2,0,-1.8,2025-2026
Sion James,CHA,22,17,1,17,4,13,26.6,6.9,2.3,5.2,43.8,1.3,3.1,42.3,1,1.2,81,0.4,2.8,3.2,1.6,1,0.8,0.3,1.6,15.3,0,0,-1.6,2025-2026
Liam McNeeley,CHA,20,17,0.647058824,11,3,8,13.2,4.2,1.1,3.5,30.8,0.8,2.4,34.6,1.2,1.4,86.7,0.5,1.8,2.3,1.1,0.6,0.2,0.1,1.6,8.7,0,0,-2.1,2025-2026
Noa Essengue,CHI,18,17,0.117647059,2,1,1,3,0,0,1.5,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,1.5,0,0,-7.5,2025-2026
Tyrese Proctor,CLE,21,19,0.842105263,16,10,6,11.9,5.1,1.6,5,32.5,0.9,3.2,27.5,0.9,1.1,88.2,0.1,1.1,1.3,1.3,0.4,0.3,0,1.3,9,0,0,-3.6,2025-2026
Cooper Flagg,DAL,18,19,0.947368421,18,5,13,33.6,15.9,6.2,13.7,45.1,1,3.8,26.1,2.6,3.2,79.3,1.3,5.2,6.4,3.1,2.2,1.3,0.7,2.3,32.1,2,0,-8.7,2025-2026
Moussa Cisse,DAL,23,19,0.789473684,15,3,12,10.5,3.3,1.3,2.1,64.5,0,0,0,0.6,1.7,36,1.5,2.1,3.6,0.2,0.9,0.3,1.2,1.9,11.4,0,0,-0.8,2025-2026
Ryan Nembhard,DAL,22,19,0.315789474,6,2,4,10.3,3,1.3,3.7,36.4,0,1,0,0.3,0.5,66.7,0.2,0.5,0.7,2.7,1,0,0,0.5,6.8,0,0,-1.7,2025-2026
Miles Kelly,DAL,22,19,0.105263158,2,1,1,5.6,1,0.5,1,50,0,0.5,0,0,0,0,0.5,1.5,2,0,0.5,0,0,1,2.9,0,0,-1.5,2025-2026
DaRon Holmes II,DEN,23,17,0.117647059,2,2,0,2.2,1.5,0.5,0.5,100,0.5,0.5,100,0,0,0,0,0,0,0,0,0,0,0.5,1.5,0,0,-1,2025-2026
Chaz Lanier,DET,23,17,0.705882353,12,11,1,10.8,3.6,1.2,3.3,35,1,3,33.3,0.3,0.3,100,0.5,0.7,1.2,0.8,0.1,0.3,0,0.3,6.9,0,0,0.3,2025-2026
Will Richard,GSW,22,19,0.894736842,17,9,8,17.7,8.2,2.9,5.3,54.4,1.2,3.1,40.4,1.2,1.6,74.1,1.1,1.4,2.5,1.2,0.7,1,0.1,2.1,15.5,0,0,-1.8,2025-2026
Taelon Peter,IND,23,17,0.647058824,11,1,10,8.3,1.8,0.5,2.2,25,0.5,2,22.7,0.3,0.3,100,0.4,1,1.4,1.3,0.7,0.2,0.2,0.5,5.7,0,0,-2.8,2025-2026
Kobe Sanders,LAC,23,17,0.529411765,9,3,6,20.4,7.1,2.3,5.9,39.6,1.2,3.4,35.5,1.2,1.3,91.7,0.6,1,1.6,1.2,1.3,0.7,0.2,2.4,12.1,0,0,0.3,2025-2026
Yanic Konan Niederhauser,LAC,22,17,0.470588235,8,2,6,5,3.1,1.3,1.8,71.4,0,0,0,0.6,1,62.5,0.9,0.6,1.5,0.4,0.3,0,0.3,0.5,6,0,0,-0.9,2025-2026
Jahmyl Telfort,LAC,24,17,0.352941176,6,1,5,4.6,0.2,0,0.7,0,0,0.7,0,0.2,0.7,25,0,0.5,0.5,0.2,0.2,0.2,0,0.7,1.4,0,0,-1,2025-2026
Adou Thiero,LAL,21,16,0.125,2,2,0,4.1,3,1,1,100,0,0,0,1,1,100,0.5,0,0.5,0,0,0,0,1,3.6,0,0,-2.5,2025-2026
Chris Manon,LAL,23,16,0.125,2,1,1,3.5,0,0,0.5,0,0,0.5,0,0,0,0,0,1,1,0,0,0,0.5,1,2.7,0,0,1,2025-2026
