PLAYER,TEAM,OFFRTG,DEFRTG,NETRTG,AST%,ASTTO,ASTRAT,OREB%,DREB%,REB%,TORAT,EFG%,TS%,USG%,PACE,PIE,POSS
Cedric Coward,MEM,112.5,112,0.5,15.5,2.27,18.1,5.2,15.2,10.2,7.9,55.6,60.9,19,104.74,11.5,1042
Cooper Flagg,DAL,101,111.8,-10.8,15.4,1.44,15.3,3.5,13.7,8.7,10.7,48.8,52.7,21.1,103.86,10.5,1301
Derik Queen,NOP,112.4,115.8,-3.4,20.8,1.37,19.3,8.4,19,13.6,14.1,49.1,54.9,23.6,102.83,11.3,910
Jeremiah Fears,NOP,106.6,122.6,-16,17,1.11,14.1,2.2,11.1,6.1,12.6,50.4,54.1,25.1,101.6,9.3,1020
Ace Bailey,UTA,109.2,122.3,-13.1,12.1,1.26,14.1,7.2,8,7.6,11.2,52.4,54.8,18.9,104.09,6.7,795
Kon Knueppel,CHA,113,116.4,-3.4,13.1,1.2,14.4,3.2,14.3,8.5,12.1,62.6,65.4,20.6,101.91,10.9,1215
Sion James,CHA,113.6,116.8,-3.2,8.2,1.65,19.6,1.3,10.6,5.9,11.9,56.2,59.5,10.3,101.59,5.6,957
Will Richard,GSW,108,114.2,-6.2,11.1,1.75,15.6,5.5,8.4,6.8,8.9,66.1,68.2,14.7,105,9,664
Chris Youngblood,OKC,101.8,101.8,0,7.7,4,13.3,2.7,8.7,6.2,3.3,45.5,52.8,14.2,101.82,4.5,171
Egor Demin,BKN,107.8,118.2,-10.4,24.6,2.12,27.5,2.3,13.4,7.4,13,49.1,50.7,17.2,99.56,7.7,731
Tyrese Proctor,CLE,99.8,112.9,-13.1,18.1,3,18.1,0.9,8.7,4.6,6,41.3,46.3,20.8,101.24,6,400
Brooks Barnhizer,OKC,95.8,113.5,-17.7,7.6,2.5,19.2,5.5,19.1,12.9,7.7,55.9,56,8.1,101.35,8.4,238
Moussa Cisse,DAL,109,110.9,-1.9,2.7,0.23,5.3,13.9,17,15.6,22.8,64.5,58.3,13.7,105.4,6.3,343
Ryan Kalkbrenner,CHA,111.1,115.1,-4,2.3,0.27,5.3,12.1,13.8,12.9,19.3,80.3,81.4,11.6,102.81,10.8,820
Tre Johnson,WAS,105.1,119.5,-14.4,8,0.83,10.2,1.8,9.3,5.7,12.2,54.8,56.5,19.6,106.3,6.5,808
VJ Edgecombe,PHI,116.9,113.8,3.2,15.8,2.17,19.4,5.2,9.8,7.5,8.9,47.7,50.3,19,99.86,7.6,1169
Hugo Gonzalez,BOS,118.7,105.3,13.5,7.9,1.67,19.6,4.6,10.4,7.4,11.8,50,49.7,11.2,97.13,4.1,315
Micah Peavy,NOP,108.7,116.4,-7.7,9.5,3.5,16.9,7.5,9,8.2,4.8,42.7,43.8,13.8,104.54,4,426
Nique Clifford,SAC,110.4,112.8,-2.5,14.1,3,26.7,4.4,11.7,8,8.9,42.9,46.9,12.4,106.46,4.3,531
Collin Murray-Boyles,TOR,106.9,110.5,-3.6,9.1,1.15,13.8,7.7,8.6,8.1,11.9,57.9,61.1,16,101.18,7.3,521
Walter Clayton Jr.,UTA,110.5,118.5,-8,28,2.33,33.3,2.7,9.9,6.3,14.3,45.9,52.1,15.6,106.49,6.8,458
Asa Newell,ATL,101.4,100.5,1,5.1,0.75,6.7,8.1,10.5,9.2,8.9,58.8,61.9,17.6,103.4,9.4,208
Chaz Lanier,DET,113.7,111.5,2.2,9.3,10,19.2,4.2,5.8,5,1.9,50,52,12.7,105.67,6.6,285
Will Riley,WAS,103.1,120.4,-17.3,20,3.33,25,3.4,14.8,8.9,7.5,43.8,45,16.1,100.85,8.4,163
Carter Bryant,SAS,103.3,105.3,-2,0,0,0,4.4,14.1,9.8,10.8,37.5,40.5,21.6,101.19,4.5,151
Drake Powell,BKN,106.1,121.5,-15.4,18.2,1.69,22.9,1.9,9.3,5.4,13.5,58.2,62.6,15.4,97.51,7.9,423
Jase Richardson,ORL,129.1,119.4,9.7,18.9,2.5,25.6,1.4,10.3,5.5,10.3,58.7,61.5,16.9,99.24,8.6,141
Liam McNeeley,CHA,110.1,115.3,-5.2,11.8,1.71,18.5,3.2,13.7,8.3,10.8,42.3,50.4,14.8,102.2,4.8,307
Taelon Peter,IND,95,108.8,-13.7,20.9,1.75,29.8,3.6,10.5,7,17,35.4,39.5,14.3,107.52,5.1,202
Caleb Love,POR,109.7,114.9,-5.2,19,2.67,17.9,3.6,13.7,8.2,6.7,41.2,42.8,22.1,107.21,6.9,411
Kobe Sanders,LAC,118.2,117.3,0.8,8.6,0.86,13.6,2.6,4.7,3.7,15.9,50,56.4,15.9,101.17,3.3,424
Maxime Raynaud,SAC,106.1,117.1,-10.9,6.3,1,9.7,5.4,18.4,11.7,9.7,47.8,52.2,17.1,104.7,7.3,293
Mohamed Diawara,NYK,92.4,102.5,-10.1,12.5,0.75,18.8,5.9,12.8,9.6,25,43.8,39.4,14.8,114.66,0.4,79
Noah Penda,ORL,129.3,112.9,16.4,15,3,25.5,15.8,17,16.4,8.5,61.1,64.6,14.5,102.58,10.9,198
Joan Beringer,MIN,98.9,101.1,-2.2,0,0,0,5,21.7,14,14.3,72.7,73.1,14.4,116.56,10.3,91
Rasheer Fleming,PHX,91.7,115,-23.3,6.5,0.67,7.4,12.5,12,12.3,11.1,30,36.8,17.7,108.49,1.4,121
Yang Hansen,POR,101.3,121.8,-20.5,14,1,14.6,6.3,13.7,9.8,14.6,33.9,40.6,22.2,106.96,4.1,158
Yanic Konan Niederhauser,LAC,97.6,109.5,-11.9,17.6,1.5,13,17.1,13.2,15.2,8.7,71.4,71.3,20.6,96.65,16.5,84
Javon Small,MEM,112.2,111.4,0.8,30.1,2.75,35.5,1,6.1,3.7,12.9,46.4,52.5,16.1,107.34,6.4,222
Khaman Maluach,PHX,95.6,119.8,-24.2,3.8,0.2,5.9,2.4,15.6,8.1,29.4,42.9,61.8,15.1,111.74,2,91
Ben Saraf,BKN,123.9,133.5,-9.6,20.2,1.89,29.8,3.1,11.5,7,15.8,31.5,37.7,17.4,100.39,2,201
Jahmyl Telfort,LAC,91.8,104.8,-13,5.9,1,12.5,0,10.3,5.3,12.5,0,8.7,10.3,100.29,-6,61
Mark Sears,MIL,123.2,101.8,21.4,12.5,0.5,8.7,5.3,4.5,4.9,17.4,61.5,66.6,34.4,103.06,7.8,56
David Jones Garcia,SAS,136.4,105.5,30.9,28.9,4.33,35.1,9.3,15.9,12.6,8.1,55.3,54.2,18.9,106.83,12.4,110
Dylan Harper,SAS,124.9,108.1,16.8,24,2.09,21.9,3.6,13.2,8.5,10.5,53.9,58.4,24.1,97.59,12.4,285
Ryan Nembhard,DAL,102.9,111.9,-9,38.1,2.67,35.6,1.5,5.1,3.1,13.3,36.4,38.6,18.2,104.67,5.5,136
Hunter Sallis,PHI,110.5,110.5,0,20,0.75,27.3,0,5,2.8,36.4,66.7,64.4,18.6,105.94,1.9,38
Jamir Watkins,WAS,112.7,121.8,-9.1,0,0,0,3,12.2,8.1,10,56.3,61.9,11.9,108.27,4.2,71
Johni Broome,PHI,103.8,107.8,-4,15.8,1.5,15.8,20,16.7,18.4,10.5,28.6,28.6,26.2,103.69,6.6,52
Nolan Traore,BKN,92.3,126.7,-34.4,21.7,2.5,29.4,0,3.2,1.3,11.8,33.3,35.4,12.6,104.85,0,78
Adou Thiero,LAL,114.3,136.4,-22.1,0,0,0,16.7,0,10,0,100,104.2,12.5,109.4,6.8,21
Amari Williams,BOS,106.3,106.1,0.1,5.6,0,25,4,13.3,9.1,0,50,52.1,5.6,104.71,7.1,48
Danny Wolf,BKN,118.8,83.3,35.4,33.3,0,50,0,25,11.1,0,0,53.2,9.1,106.67,18.5,16
Dylan Cardwell,SAC,120.3,131.9,-11.6,0,0,0,5.4,11.5,7.9,22.2,33.3,36.3,10.6,101.8,-3.3,69
Javonte Cooke,POR,90.6,103.7,-13.1,17.6,1,18.8,2.9,0,1.6,18.8,35,35,19.1,108.5,0.5,53
