PLAYER,TEAM,OFFRTG,DEFRTG,NETRTG,AST%,ASTTO,ASTRAT,OREB%,DREB%,REB%,TORAT,EFG%,TS%,USG%,PACE,PIE,POSS
Karl-Anthony Towns,MIN,106.8,109.3,-2.5,10.8,0.88,10,9.2,24.2,16.9,11.4,55.5,59,24.3,97.06,15.4,5311
Frank Kaminsky,CHA,100.8,101.7,-0.9,9.5,1.69,13.2,3.8,15,9.4,7.8,47.4,51.3,16.6,97.74,9,3483
Raul Neto,UTA,103.2,99.9,3.3,19,1.6,23.8,1.2,7.1,4.2,14.9,50.7,53,17.2,92.26,7,2871
T.J. McConnell,PHI,98.4,106.5,-8.1,36,2.62,37.1,2.6,13.4,7.8,14.1,50.3,51.1,16.7,99.55,11.6,3328
D'Angelo Russell,LAL,98.4,110.1,-11.7,21.3,1.36,17.7,1.9,10.1,5.8,13.1,47.8,50.7,23.8,97.17,8.8,4568
Nikola Joki?,DEN,105.5,103.1,2.4,17.6,1.82,19.4,9.9,22.3,15.9,10.7,53.5,58.2,19.4,96.5,14.5,3488
Trey Lyles,UTA,101.6,103.3,-1.7,7.2,0.91,9.9,4.3,18,11.1,10.9,49.4,51.7,17.8,92.52,9,2665
Mario Hezonja,ORL,102.6,102.7,-0.1,11.3,1.12,16.8,1.9,10.8,6.2,15,51.3,54.1,16.6,98.46,6.5,2899
Justise Winslow,MIA,102.7,100.3,2.4,7.7,1.24,16.2,3.8,14,9.1,13,45.7,48.9,12.2,95.88,6.4,4461
Devin Booker,PHX,100.3,108.7,-8.4,16.2,1.25,15,1.2,7.5,4.3,12,48,53.5,22.8,99.76,7.4,4379
Jerian Grant,NYK,97.3,103.9,-6.5,23.6,2.03,25,1.7,9.1,5.4,12.3,42.2,47.9,18.5,96.59,8.2,2545
Stanley Johnson,DET,100.6,104.2,-3.6,11.3,1.04,13.5,3.1,14.7,8.6,13,42.8,46,19.1,98.1,6.4,3441
Kristaps Porzi??is,NYK,104.6,104.3,0.3,7.6,0.78,7.7,6.3,18.4,12.4,10,46.7,51.8,24.3,94.93,11.3,4048
Rashad Vaughn,MIL,99.1,107.2,-8.1,5.5,1.39,11.5,1.1,7.7,4.4,8.3,38.5,39.8,13,96.34,2.4,2017
Emmanuel Mudiay,DEN,104.7,107.9,-3.1,28.1,1.71,23.4,1.5,9.7,5.5,13.7,40.4,43.7,25,98.31,6.8,4242
Willie Cauley-Stein,SAC,105.6,106.8,-1.2,3.8,0.8,7.7,9.4,15,12.2,9.6,56.3,58.8,13.1,101.51,8.8,2965
Kelly Oubre Jr.,WAS,100.4,103,-2.6,2.9,0.38,4.7,3.5,15.5,9.5,12.3,48.6,50.7,16.6,102.42,5.1,1428
Larry Nance Jr.,LAL,101.4,104.8,-3.4,5.5,1.07,10.9,7.6,16.5,12,10.1,52.8,54.4,12.4,97.06,9,2556
Bobby Portis,CHI,100.4,108,-7.6,7.6,0.96,9.1,10.1,18.6,14.2,9.4,44.5,46.9,20.3,97.47,9.3,2234
Myles Turner,IND,99.2,101.6,-2.5,5,0.61,5.9,4.9,18.2,11.7,9.7,50.1,53.1,20.7,99.76,10.5,2842
Nemanja Bjelica,MIN,101.9,107.6,-5.7,11.5,1.74,21.1,4.7,15.6,10.1,12.1,57,59.4,12.3,98.3,7.3,2200
Cameron Payne,OKC,104.1,105.9,-1.8,24.1,2.45,24.5,1.2,10.8,5.9,10,47.5,49,19.9,98.26,8.9,1427
Jonathon Simmons,SAS,107.2,101,6.3,10.8,1.09,14.9,2.2,9.9,6.3,13.6,54.1,58.6,18.3,97.23,7.1,1642
Justin Anderson,DAL,100.7,99.3,1.4,7.1,1.21,11.4,2.6,16.7,9.6,9.4,46.9,52.2,15.2,99.06,9.4,1329
Boban Marjanovic,SAS,106.8,102.3,4.5,7.2,0.72,7.7,15.4,24.6,20.1,10.6,60.3,66.2,22,95.09,18.1,1010
Jahlil Okafor,PHI,92.7,108.4,-15.7,8.8,0.52,6.2,7.5,16,11.7,11.8,50.9,53.6,27.2,97.08,11.7,3223
Marcelo Huertas,LAL,102.9,101.1,1.7,32.7,2.28,36.4,2,8.2,5.1,16,45.7,48.8,16.1,95.94,8,1731
Josh Richardson,MIA,104.3,102.5,1.8,9.8,2.09,17.8,2,7.5,4.8,8.6,55,56.9,13.4,95.27,6.6,2197
Richaun Holmes,PHI,102.8,106.3,-3.6,7.3,1.03,10.3,8.5,10.4,9.4,10,53.2,56.4,17.1,101.33,8.2,1482
Norman Powell,TOR,108.9,104.2,4.8,10.2,1.47,14.2,2.3,12.9,7.8,9.6,50.2,54.1,17.4,94.78,8.7,1431
Joe Young,IND,97.8,102.1,-4.4,26.1,1.97,23.5,1.5,10.6,6.1,11.9,39.6,42.8,23.3,100,7.9,800
Montrezl Harrell,HOU,107.1,102.2,4.9,6.7,1,11.7,6.6,9.8,8.2,11.7,64.4,63.5,14.1,101.99,7.8,804
Terry Rozier,BOS,92.8,100.3,-7.5,19.9,1.95,22.3,6.2,11.8,8.8,11.4,30.2,32.6,16.8,101.06,4.4,657
Willie Reed,BKN,97.2,104.4,-7.2,3.9,0.63,5.4,11.3,17.4,14.3,8.7,57.1,57.9,17.5,98.06,11.4,861
Darrun Hilliard,DET,100.6,102.3,-1.7,11.7,1.42,13.8,1.3,10.3,5.7,9.7,46.9,51.1,19,96.87,7.3,778
Tyus Jones,MIN,98.6,109.3,-10.7,27.8,3.27,34.7,1.2,7.3,4.1,10.6,41,45,15.1,99.57,7.7,1184
RJ Hunter,BOS,90.3,94.5,-4.2,6.8,1.18,10.4,0.6,11.3,5.6,8.8,46.4,48,15,101.78,6.2,667
Lamar Patterson,ATL,106.3,102.1,4.2,13.4,1.7,25.7,1,12.2,6.5,15.1,42.5,46.8,12.3,100.4,3.7,825
Pat Connaughton,POR,88,93,-5,11.5,1,14.1,7.1,12.6,9.9,14.1,31.6,35.2,17.8,100.04,5.3,300
Salah Mejri,DAL,106.8,101.3,5.5,3.8,0.43,7.6,10.5,19,14.9,17.4,62.8,63.6,13.8,96.61,9.5,799
Cristiano Felicio,CHI,107.5,99.5,8,11.5,2,20.5,9.4,21.8,15.7,10.2,55.6,60.1,13.5,97.81,12.3,654
Anthony Brown,LAL,100.3,102.6,-2.3,4.8,1.27,11.2,1.4,10.1,5.5,8.9,38.9,42.7,10.9,96.98,3.7,1206
Rondae Hollis-Jefferson,BKN,98.9,102.1,-3.2,10,1.65,18.5,6.1,17.9,12,11.2,47.1,51.9,13.1,98.58,9.6,1254
Delon Wright,TOR,102.8,99.6,3.3,22.6,1.94,21.5,3.5,12,7.9,11.1,48.1,54,21.8,96.51,12.4,460
Jarell Martin,MEM,102,106.1,-4.1,6.5,0.79,8.5,9.1,13.1,11,10.7,46.6,53.4,17.9,96.69,7.1,761
Jarell Eddie,WAS,89.8,102.2,-12.4,5.8,5,6.7,1.2,13.4,7,1.3,42.3,46,19.1,105.15,8.8,325
Sasha Kaun,CLE,86.1,92.9,-6.8,5.2,0.43,9.7,12.1,13.7,12.9,22.6,52.9,52.7,11.9,101.64,7.5,208
Chris McCullough,BKN,101.1,115.8,-14.7,3.8,0.6,6.3,6.3,12.6,9.2,10.4,46.3,47,15.8,98.61,5.6,740
Jordan McRae,CLE,107,94.3,12.7,21.6,1.67,19.2,2.1,7.5,5,11.5,50,54.8,24.4,94.43,9.6,383
Aaron Harrison,CHA,94.7,98.1,-3.4,3.3,0.5,6.5,4.5,11.2,8,12.9,34.2,37.1,13.2,106.5,1.3,207
Axel Toupane,DEN,108.2,110.4,-2.2,6.8,2.5,15.3,2.8,7.6,5.3,6.1,45,49,12.2,96.42,2.9,612
